Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"| Clínica Fisioterapia y suelo pélvico Salamanca | Julia Rodríguez",clinica-fisioterapia-y-suelo-pelvico-sal,yoga,pilates,"Yoga","Pilates",""
"22Nexus Pilates",22nexus-pilates,yoga,pilates,"Yoga","Pilates",""
"23.FIT",23-fit,yoga,pilates,"Yoga","Pilates",""
"3Ventur",3ventur,yoga,yoga,"Yoga","Pilates",""
"4Health - Personal Training Studio",4health-personal-training-studio,yoga,yoga,"Yoga","Pilates",""
"88 Sports Leisure Center Towers",88-sports-leisure-center-towers,yoga,yoga,"Yoga","Pilates",""
"AB Yoga Center By Alícia Beltrán - Centre de Ioga a Barcelona",ab-yoga-center-by-alicia-beltran-centre-,yoga,yoga,"Yoga","Pilates",""
"Abbyveda Massages ô féminin",abbyveda-massages-o-feminin,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Acfitness Gym (Noia)",acfitness-gym-noia,yoga,yoga,"Yoga","Pilates",""
"Acroyoga y Yoga Barcelona",acroyoga-y-yoga-barcelona,yoga,yoga,"Yoga","Pilates",""
"Activa Pilates Moralzarzal",activa-pilates-moralzarzal,yoga,pilates,"Yoga","Pilates",""
"Activaclub Almería",activaclub-almeria,yoga,yoga,"Yoga","Pilates",""
"activaT center",activat-center,yoga,yoga,"Yoga","Pilates",""
"Activate Sports Club",activate-sports-club,yoga,yoga,"Yoga","Pilates",""
"ActualFit 24 🏋🏻‍♂️",actualfit-24,yoga,yoga,"Yoga","Pilates",""
"Afitnity Training Box",afitnity-training-box,yoga,yoga,"Yoga","Pilates",""
"Agalar",agalar,yoga,yoga,"Yoga","Pilates",""
"Ágape Yoga Málaga",agape-yoga-malaga,yoga,yoga,"Yoga","Pilates",""
"Agâra Yoga - Lugo",agara-yoga-lugo,yoga,yoga,"Yoga","Pilates",""
"Agoyoga Ibiza",agoyoga-ibiza,yoga,yoga,"Yoga","Pilates",""
"ahimsa YOGA",ahimsa-yoga,yoga,yoga,"Yoga","Pilates",""
"Ahimsa Yoga y Sonido",ahimsa-yoga-y-sonido,yoga,yoga,"Yoga","Pilates",""
"Aiyayurveda International Association of yoga and ayurveda",aiyayurveda-international-association-of,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Akasha - Casa de Sanación y Ayurveda Savitri OM",akasha-casa-de-sanacion-y-ayurveda-savit,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Akasha Yoga Pilates Alcalá",akasha-yoga-pilates-alcala,yoga,yoga,"Yoga","Pilates",""
"Aktivs Yoga Tenerife",aktivs-yoga-tenerife,yoga,yoga,"Yoga","Pilates",""
"Alba Flores Saranam-Refugio del Alma",alba-flores-saranam-refugio-del-alma,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Alea Fisioterapia Deportiva y Suelo Pélvico Guadalajara.",alea-fisioterapia-deportiva-y-suelo-pelv,yoga_meditation,pilates,"Yoga","Pilates",""
"Alice MASSAGE & YOGA - BAYONNE",alice-massage-yoga-bayonne,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Almagrit Baños Árabes| Almagro.",almagrit-banos-arabes-almagro,yoga,yoga,"Yoga","Pilates",""
"Amantes del Yoga",amantes-del-yoga,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Ametlla Diving",ametlla-diving,yoga,yoga,"Yoga","Pilates",""
"Anahata Centro de Yoga y Bienestar y Gong",anahata-centro-de-yoga-y-bienestar-y-gon,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"ANANDA Centre de Soins Ayurvédiques",ananda-centre-de-soins-ayurvediques,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Ananda Ioga",ananda-ioga,yoga,yoga,"Yoga","Pilates",""
"Ananta Ayurveda",ananta-ayurveda,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"ANDRÉ FARIA",andre-faria,yoga_meditation,pilates,"Yoga","Pilates",""
"Ángela Valle Centro de Masajes y Técnicas Naturales",angela-valle-centro-de-masajes-y-tecnica,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Ànima Wellness",anima-wellness,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"ANS CLINIC",ans-clinic,spa,ayurveda,"Ayurveda","Spa",""
