Nombre,Categoría,Dirección,Teléfono,Web,Email,Valoración,Nº Reseñas,Nivel Precio,Tipos Google,Latitud,Longitud,Horarios,Estado,Google Maps,Place ID,Provincia,Región,País,Web válida (IA),Calidad (IA),Búsqueda
Areafit Reus,🧘‍♀️ Centro de yoga,"Carrer de l'Alcalde Joan Bertran, 34, 43202 Reus, Tarragona, Spain",,https://www.areafit.es/reus,,4.7,1156,,"establishment, gym, health, point_of_interest",41.1498561,1.100329,,OPERATIONAL,,ChIJqT2xirBRoRIRCWUJRCacRGA,Tarragona,Cataluña,España,Sí,5,centro pilates · españa
Body Viu,🧘‍♀️ Centro de yoga,"Carrer del Doctor Joan Abelló, 43202 Reus, Tarragona, Spain",600 73 60 84,http://www.bodyviu.com/,,4.9,141,,"establishment, gym, health, physiotherapist, point_of_interest",41.1587269,1.105006,,OPERATIONAL,,ChIJHbVxEwNRoRIRANuLMtWlI0E,Tarragona,Cataluña,España,Sí,5,centro pilates · españa
Synergym,🧘‍♀️ Centro de yoga,"Carrer de Castellvell, 7, 43202 Reus, Tarragona, Spain",,https://synergym.es/reus-niloga/,,4.7,428,,"establishment, gym, health, point_of_interest",41.1603902,1.1042339,,OPERATIONAL,,ChIJO30ey_JRoRIRSegqoN9J1js,Tarragona,Cataluña,España,Sí,5,centro pilates · españa
Bodycam Sports Cambrils,🧘‍♀️ Centro de yoga,"Rambla de Jaume I, 27, 43850 Cambrils, Tarragona, Spain",669 79 05 06,http://www.bodycamsports.com/,,4.9,119,,"establishment, gym, health, point_of_interest",41.0672086,1.059611,,OPERATIONAL,,ChIJuWkYAC1boRIRI9n6Z7KVxM8,Tarragona,Cataluña,España,Sí,5,centro pilates · españa
Synergym Reus Carrillet,🧘‍♀️ Centro de yoga,"Carrer de Ramon J. Sender, 6, 43204 Reus, Tarragona, Spain",,https://www.synergym.es/reus-carrillet/,,4.7,843,,"establishment, gym, health, point_of_interest",41.150196,1.1116791,,OPERATIONAL,,ChIJe6qWSmxRoRIRQHGwhUYWwPw,Tarragona,Cataluña,España,Sí,5,centro pilates · españa
FITNESS ONE CENTER BENICARLO,🧘‍♀️ Centro de yoga,"Carr Sant Mateu, 11, 12580 Benicarló, Castellón, Spain",722 51 32 26,https://fitnessonecenter.com/,,4.9,215,,"establishment, gym, health, point_of_interest",40.4221219,0.4150448,,OPERATIONAL,,ChIJlcdZB61FoBIR831_OziYeC0,Castellón,Comunidad Valenciana,España,Sí,5,centro pilates · españa
Gimnasio Ballester,🧘‍♀️ Centro de yoga,"Avenida de las Cortes Valencianas 15, Avinguda de les Corts Valencianes, 17, bajo, 12580 Benicarló, Castelló, Spain",964 47 03 04,https://gimnasioballester.com/,,4.7,214,,"establishment, gym, health, point_of_interest",40.4125979,0.4239086,,OPERATIONAL,,ChIJvVx5TbhFoBIR8qJA22OszFU,Castellón,Comunidad Valenciana,España,Sí,5,centro pilates · españa
SYNERGIE PILATES STUDIO DONOSTIA 🌱,🧘‍♀️ Centro de yoga,"C. de Vitoria-Gasteiz, 2, 20018 Donostia / San Sebastián, Guipúzcoa, Spain",648 47 77 66,http://www.synergiepilates.net/,pilatessynergie@gmail.com,4.9,124,,"establishment, gym, health, point_of_interest",43.3140737,-2.0052096,,OPERATIONAL,,ChIJq29L_6C6UQ0RWojkXJF1rJA,Guipúzcoa,País Vasco,España,Sí,5,centro pilates · españa
Pilates y Funcional Bahia,🧘‍♀️ Centro de yoga,"C. Lealtad, 4, 39002 Santander, Cantabria, Spain",600 83 82 75,https://www.pilatessantander.com/,team@latofonts.com,5,152,,"establishment, gym, health, point_of_interest",43.4624552,-3.8085512,,OPERATIONAL,,ChIJ5STj1_hLSQ0RL6IJ_wP7O1Y,Cantabria,Cantabria,España,Sí,5,centro pilates · españa
GIMNASIO PEDREGAL COLLOTO,🧘‍♀️ Centro de yoga,"Av. Europa, 6, 33010 Colloto, Asturias, Spain",605 78 61 32,http://www.gimnasiopedregal.com/,,4.9,135,,"establishment, gym, health, point_of_interest, school",43.3786627,-5.7917875,,OPERATIONAL,,ChIJOUpeV6-LNg0Rnb5uguKFXAs,Asturias,Asturias,España,Sí,5,centro pilates · españa
Synergym Lugo Piringalla,🧘‍♀️ Centro de yoga,"R. Poeta Manuel María, 27004 Lugo, Spain",,https://synergym.es/lugo-piringalla/,,4.9,475,,"establishment, gym, health, point_of_interest",43.0223043,-7.568944,,OPERATIONAL,,ChIJgwT3C9HPMQ0RMNFdQGa_vDQ,Lugo,,España,Sí,5,centro pilates · españa
Matronas e Nais,🧘‍♀️ Centro de pilates,"Muñoz Balaguer, Rúa Ramón Montenegro, 30, bajo Centro, 27002 Lugo, Spain",660 48 28 99,http://www.matronasenais.es/,matronasenais@gmail.com,5,251,,"establishment, point_of_interest",43.0085977,-7.5496229,,OPERATIONAL,,ChIJyWVQrBDPMQ0RF-c6wASQ-Xg,Lugo,Galicia,España,Sí,5,centro pilates · españa
Centro deportivo INCIPIT Sports solution for humans FITCROSS & HYBRID,🧘‍♀️ Centro de yoga,"C. Linares Rivas, n° 44, B, 26200 Haro, La Rioja, Spain",629 55 87 31,http://www.incipitentrenacontigo.com/,,4.9,108,,"establishment, gym, health, point_of_interest",42.5755174,-2.8431804,,OPERATIONAL,,ChIJ6YQr4kyLTw0RPCkMLm7Y54Q,La Rioja,La Rioja,España,Sí,5,centro pilates · españa
Synergym,🧘‍♀️ Centro de yoga,"Orio Kalea, 1, 01010 Vitoria-Gasteiz, Araba, Spain",,https://synergym.es/vitoria-lakua/,,4.7,724,,"establishment, gym, health, point_of_interest",42.8655947,-2.6940139,,OPERATIONAL,,ChIJR2ihiG3DTw0RDXOyYz5dwko,Álava,País Vasco,España,Sí,5,centro pilates · españa
Synergym Vitoria Borinbizkarra,🧘‍♀️ Centro de yoga,"Ozeano Barearen Kalea, 31, 33, 01010 Vitoria-Gasteiz, Araba, Spain",,https://synergym.es/vitoria-borinbizkarra/,,4.7,609,,"establishment, gym, health, point_of_interest",42.8496877,-2.7026861,,OPERATIONAL,,ChIJzZ1E4bzBTw0R_w4iG64Bx5M,Álava,País Vasco,España,Sí,5,centro pilates · españa
Synergym Vitoria Zaramaga,🧘‍♀️ Centro de yoga,"Reyes de Navarra Kalea, 31, 01013 Vitoria-Gasteiz, Araba, Spain",,https://synergym.es/vitoria-zaramaga/,,4.7,511,,"establishment, gym, health, point_of_interest",42.8581555,-2.6701789,,OPERATIONAL,,ChIJ05uv27rDTw0RWOXqsN8FPPc,Álava,País Vasco,España,Sí,5,centro pilates · españa
Synergym,🧘‍♀️ Centro de yoga,"Abendaño Kalea, 16, 01008 Vitoria-Gasteiz, Araba, Spain",,https://www.synergym.es/vitoria-san-martin/,,4.7,778,,"establishment, gym, health, point_of_interest",42.8439969,-2.683621,,OPERATIONAL,,ChIJ26N7s_fDTw0R1hwwEGGs8J0,Álava,País Vasco,España,Sí,5,centro pilates · españa
Fitness Park,🧘‍♀️ Centro de yoga,"Zaramaga Kalea, 1, 01013 Vitoria-Gasteiz, Araba, Spain",656 18 22 00,https://www.fitnesspark.es/club/vitoria-boulevard/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Vitoria-El-Boulevard&utm_content=Yext,vitoria-boulevard@fitnesspark.es,4.8,2668,,"establishment, gym, health, point_of_interest",42.8616942,-2.6690394,,OPERATIONAL,,ChIJyfy3buXDTw0RfjYEKRxX1T4,Álava,País Vasco,España,Sí,5,centro pilates · españa
SANO Burgos - Entrenamiento Personal y Grupos Reducidos,🧘‍♀️ Centro de yoga,"P.º de la Isla, 7, 09003 Burgos, Spain",605 64 42 22,https://www.sanocenter.es/empresas/sano-burgos/,,4.8,226,,"establishment, gym, health, point_of_interest",42.3403791,-3.7131498,,OPERATIONAL,,ChIJ7ShSs0D9RQ0Rt1KWcQupVUw,Burgos,Castilla y León,España,No,2,centro pilates · españa
Synergym,🧘‍♀️ Centro de yoga,"Av. Suero de Quiñones, 24, 24002 León, Spain",,https://www.synergym.es/leon-auditorio/,,4.7,782,,"establishment, gym, health, point_of_interest",42.601934,-5.5784413,,OPERATIONAL,,ChIJr1lVMMqbNw0RkESHWm_IGsE,León,Castilla y León,España,No,2,centro pilates · españa
Basic-Fit Ponferrada Avenida España 17,🧘‍♀️ Centro de yoga,"Av. España, 17, 24400 Ponferrada, León, Spain",851 96 04 67,https://www.basic-fit.com/es-es/clubs/basic-fit-ponferrada-avenida-espa%C3%B1a-0a1ed6ce776c43339e528fa2dd64a761.html?utm_medium=yext&utm_source=gmb,,4.8,583,,"establishment, gym, health, point_of_interest",42.5475285,-6.6004933,,OPERATIONAL,,ChIJC5ToK-O7MA0RMos8H5wxH3Y,León,Castilla y León,España,Sí,5,centro pilates · españa
Mamba BFC,🧘‍♀️ Centro de yoga,"C. Bilbao, 5, 24400 Ponferrada, León, Spain",987 41 58 08,https://www.mambabfc.com/,,4.9,191,,"establishment, gym, health, point_of_interest",42.5550289,-6.6159542,,OPERATIONAL,,ChIJec05s_i6MA0Ro5Rc74E2i_M,León,Castilla y León,España,Sí,5,centro pilates · españa
GIMNASIO TEMPLARIUM PONFERRADA,🧘‍♀️ Centro de yoga,"C. Juan Austria, 6, 24400 Ponferrada, León, Spain",987 87 19 09,https://www.facebook.com/Templariumgym,,4.6,125,,"establishment, gym, health, point_of_interest",42.5450588,-6.5990653,,OPERATIONAL,,ChIJDyRI15K6MA0R3IKcTV1lqTo,León,Castilla y León,España,No,4,centro pilates · españa
Entrenaconfei,🧘‍♀️ Centro de pilates,"C. José Luis Pécker, 7, 24404 Ponferrada, León, Spain",633 03 86 57,https://entrenaconfei.com/,,4.9,106,,"establishment, health, point_of_interest",42.5571575,-6.6098166,,OPERATIONAL,,ChIJ8TkpTl27MA0R1gzkbkJ9XAg,León,Castilla y León,España,Sí,5,centro pilates · españa
Synergym Ponferrada la Rosaleda,🧘‍♀️ Centro de yoga,"C. Matilde Conesa, 1, 24400 Ponferrada, León, Spain",,https://synergym.es/ponferrada-rosaleda/,,4.9,570,,"establishment, gym, health, point_of_interest",42.5523789,-6.6055003,,OPERATIONAL,,ChIJES3GU7m7MA0RtINGK_hLzUg,León,Castilla y León,España,Sí,5,centro pilates · españa
Gimnasio Sparta Sport Center Logroño,🧘‍♀️ Centro de yoga,"Av. de Lobete, 3, 26003 Logroño, La Rioja, Spain",637 61 36 33,https://spartasportcenter.com/logrono/,,4.7,431,,"establishment, gym, health, point_of_interest, spa",42.4585845,-2.4411625,,OPERATIONAL,,ChIJNW31fZerWg0RhDwPUVAqQmI,La Rioja,La Rioja,España,No,2,centro pilates · españa
Gimnasio Sportia Cordón 5,🧘‍♀️ Centro de yoga,"C. Cordón, 5, 09004 Burgos, Spain",947 11 04 40,http://www.sportiagimnasios.com/,cordon5@sportiagimnasios.com,4.8,280,,"establishment, gym, health, point_of_interest",42.3421912,-3.6989022,,OPERATIONAL,,ChIJbf0BttT8RQ0RO7Hcf_OFp7k,Burgos,Castilla y León,España,No,2,centro pilates · españa
Gimnasio Sparta Sport Center Palencia - Calle José Zorrilla,🧘‍♀️ Centro de yoga,"C. José Zorrilla, 5, 34001 Palencia, Spain",608 95 88 33,https://spartasportcenter.com/palencia-calle-jose-zorrilla/,,4.6,192,,"establishment, gym, health, point_of_interest",42.0113756,-4.5310593,,OPERATIONAL,,ChIJpX4xGfKxRw0RNqMJpGn17hU,Palencia,Castilla y León,España,No,1,centro pilates · españa
