Nombre,Categoría,Dirección,Teléfono,Web,Email,Valoración,Nº Reseñas,Nivel Precio,Tipos Google,Latitud,Longitud,Horarios,Estado,Google Maps,Place ID,Provincia,Región,País,Web válida (IA),Calidad (IA),Búsqueda
TAIBAI Medicina Tradicional China,🪷 Ayurveda,"C. del Puerto de Maspalomas, 8, Piso1 puerta 4, Fuencarral-El Pardo, 28029 Madrid, Spain",670 08 25 63,http://www.taibai.es/,contacto@taibai.es,5,56,,"establishment, health, point_of_interest",40.4780559,-3.7137889,,OPERATIONAL,,ChIJMUNZqHUpQg0RrdHbg3dT-k8,Madrid,Comunidad de Madrid,España,No,2,ayurveda · españa
SasiThai Thai Massage Madrid,🪷 Ayurveda,"C. de Manuel de Falla, 8, Chamartín, 28036 Madrid, Spain",912 53 04 58,https://sasithai.es/,contacto@sasithai.es,4.9,923,,"establishment, point_of_interest, spa",40.4550599,-3.6874962,,OPERATIONAL,,ChIJJQg_hn0nQg0RIN8dYjyptfI,Madrid,Comunidad de Madrid,España,No,1,ayurveda · españa
"imohe · Instituto de Salud, Medicina y Oncología Holística",🪷 Ayurveda,"Av. Diagonal, 419, Eixample, 08021 3o1a, Barcelona, Spain",935 85 11 00,http://imohe.es/,imohe@imohe.es,4.2,24,,"establishment, health, point_of_interest",41.3947472,2.1536769,,OPERATIONAL,,ChIJR-y12A-YpBIRkiwTqJsSj5I,Barcelona,Cataluña,España,No,1,ayurveda · españa
Sant Pau Centre Terapèutic,🪷 Ayurveda,"Carrer de Sant Antoni Maria Claret, 234, Principal, 1º, Eixample, 08025 Barcelona, Spain",617 89 25 83,https://www.centresantpau.com/,centresantpau@gmail.com,4.9,249,,"establishment, health, point_of_interest",41.4116096,2.1750814,,OPERATIONAL,,ChIJ270tA9CipBIRbd6tlbJb8GQ,Barcelona,Cataluña,España,No,1,ayurveda · españa
Sergiolistico,🪷 Ayurveda,"Carrer Margarida Xirgu, 50, 08750 Molins de Rei, Barcelona, Spain",679 29 10 53,https://sergiolistico.com/,usuario@dominio.com,5,46,,"establishment, health, point_of_interest",41.4125992,2.0235625,,OPERATIONAL,,ChIJ1cRim86bpBIRPeC_84O3qjc,Barcelona,Cataluña,España,No,1,ayurveda · españa
RAK SAENG - Escuela y Centro de Masaje Tailandés en Madrid,🪷 Ayurveda,"C. Mercedes Domingo, 28, Carabanchel, 28019 Madrid, Spain",609 87 85 61,http://www.raksaeng.es/,info@raksaeng.es,5,148,,"establishment, health, point_of_interest, spa",40.3855747,-3.721884,,OPERATIONAL,,ChIJAdroPzEmQg0RaG9MbNeBoLk,Madrid,Comunidad de Madrid,España,No,1,ayurveda · españa
Herbodietètica Pronaturas,🪷 Ayurveda,"Carrer de Sant Felip, 13, 08320 El Masnou, Barcelona, Spain",935 40 32 55,http://www.herbodieteticapronaturas.com/,miguelangelmansilla1@hotmail.com,4.7,20,,"establishment, gym, health, point_of_interest, store",41.4800711,2.3196637,,OPERATIONAL,,ChIJnao6U76wpBIR8VzYRc_omjE,Barcelona,Cataluña,España,No,1,ayurveda · españa
Moon Relax Spa,🧖‍♀️ Spa,"Pl. de la Sagrada Familia, 10, 6.1, Eixample, 08025 Barcelona, Spain",684 33 71 86,https://moonrelaxspa.com/,hello@moonrelaxspa.com,4.9,897,,"establishment, point_of_interest",41.4031052,2.1723217,,OPERATIONAL,,ChIJW92sMKyjpBIRjOUtI452xHo,Barcelona,Cataluña,España,No,1,ayurveda · españa
Evasiom Spa,🧖‍♀️ Spa,"Carrer d'Aribau, 133, Eixample, 08036 Barcelona, Spain",934 10 76 02,http://www.evasiomspa.com/,info@evasiomspa.com,4.6,739,,"establishment, point_of_interest, spa",41.391877,2.154564,,OPERATIONAL,,ChIJIw18ppqipBIRQEBa4W-WKLE,Barcelona,Cataluña,España,No,1,ayurveda · españa
Institut de Salut Holística Rosselló,🪷 Ayurveda,"Carrer del Rosselló, 102, Entlo 1, Eixample, 08029 Barcelona, Spain",695 26 01 51,https://www.institutsalutholistica.com/,info@institutsalutholistica.com,4.5,466,,"establishment, health, point_of_interest",41.3877881,2.1501795,,OPERATIONAL,,ChIJezejdoSipBIRVEVYmQRme4M,Barcelona,Cataluña,España,No,1,ayurveda · españa
